Title,Author,Orientation,Resolution,File_name,Looks_good,Copyright,Copyright link
Acrobat and Young Harlequin,Pablo Picasso,Portrait,684x1230,acrobat_and_young_harlequin.jpg,,,
The Creation of Adam,Michelangelo,Landscape,1920x871,adamo.jpg,,,
Self Portrait as the Allegory of Painting,Artemisia Gentileschi,Portrait,818x1080,allegorie.jpg,,,
American Gothic,Grant Wood,Portrait,1790x2160,american_gothic.jpg,,,
Amor Vincit Omnia,Caravaggio,Portrait,1151x1614,amor_vincit_omnia.jpg,,,
The Anatomy Lesson of Dr Nicolaes Tulp,Rembrandt,Landscape,1434x1080,anatomy.jpg,,,
Virgin Annunciate,Anthony of Messina,Portrait,1460x1903,annunciate.jpg,,,
Arnolfini Portrait,Jan van Eyck,Portrait,1578x2160,arnolfini_portrait.jpg,,,
Arrangement in Grey and Black No. 1,James Abbott McNeill Whistler,Portrait,1200 × 1068,arrangement_in_grey_and_black_no1.jpg,,,
School of Athens,Raffello,Landscape,1392x1080,athens.jpg,,,
Autumn on the Hudson River,Jasper Francis Cropsey,Landscape,1278x704,autumn-on_the_hudson_river.jpg,,NO,https://www.nga.gov/collection/art-object-page.46474.html
Basket of Fruit,Caravaggio,Landscape,1280x1013,basket_of_fruit.jpg,,,
Battista Sforza,Piero Della Francesca,Portrait,706 x 1010,battista_sforza.jpg,,,
Big Campbell's Soup Can 19c (Beef Noodle),Andy Warhol,Portrait,598 × 800,big_campbells_soup_can_19c.jpg,,,
Cafe Terrace at Night,Vincent van Gogh,Portrait,2348 × 2945,cafe_terrace_at_night.jpg,,,
The Card Players,Paul Cezanne,Landscape,1317x1080,card_players.jpg,,,
Cave of the Hands,Unknown,Landscape,1600x1200,cave_of_the_hands.jpg,,,
Chalk Cliffs on Rügen,Caspar David Friedrich,Portrait,858x1080,chalk_cliffs_on_rugen.jpg,,,
Composition VIII,Wassily Kandinsky,Landscape,1090 × 755,composition_viii.jpg,,,
"Craftsmen, Tomb of Nebamun and Ipuky",Unknown,Landscape,1200x413,craftsmen_tomb_of_nebamun_and_ipuky.jpg,,,
Napoleon Crossing the Alps,Jacques Louis David,Portrait,914x1080,crossing_the_alps.jpg,,,
Crucifixion of Saint Peter,Caravaggio,Portrait,1590x2048,crucifixion_of_saint_peter.jpg,,,
Crying Girl,Roy Lichtenstein,Landscape,1024x787,crying_girl.jpg,,,
The Dance Class,Edgar Degas,Portrait,928x1080,danse.jpg,,,
A Sunday Afternoon on the Island of La Grande Jatte,Georges Seurat,Landscape,1280x861,dimanche_a_midi.jpg,,,
The Kiss,Francesco Hayez,Portrait,867x1080,el_beso.jpg,,,
The Embrace,Egon Schiele,Landscape,1280x743,embrace.jpg,,,
Federico da Montefeltro,Piero Della Francesca,Portrait,703x997,federico_da_montefeltro.jpg,,,
Gallery of Archduke Leopold Wilhelm in Brussels,David Teniers the Younger,Landscape,1459x1080,gallery_of_the_archduke_leopold_willem_in_brussels.jpg,,,
The Gleaners,Jean Francois Millet ,Landscape,1280x958,gleaners.jpg,,,
Woman with a Hat,Henri Matisse,Portrait,1214x1653,hat.jpg,,,
Portrait of Henry VIII,Hans Holbein the Younger,Portrait,614x1080,henry.jpg,,,
Judith and the Head of Holofernes,Gustav Klimt,Portrait,1666x3392,judith.jpg,,,
Le Reve,Henri Rousseau,Landscape,1280x871,la_reve.jpg,,,
Lady with an Ermine,Leonardo da Vinci,Portrait,1200 × 1614,lady_with_an_ermine.jpg,,,
The Last Supper,Leonardo da Vinci,Landscape,1200x600,last_supper.jpeg,,,
The Desperate Man,Gustave Courbet,Landscape,879x720,le_desespere.jpg,,,
Oath of the Horatii,Jacques Louis David,Landscape,2332 × 1797,le_serment_des_horaces.jpg,,,
Liberty Leading the People,Eugene Delacroix,Landscape,1346x1080,liberty.jpg,,,
Portrait of Lucrezia Panciatichi,Bronzino,Portrait,854x1080,lucrezia.jpg,,,
Luncheon of the Boating Party,Pierre Auguste Renoir,Landscape,1280x945,luncheon_of_the_boating_party.jpg,,,
The Luncheon on the Grass,Edouard Manet ,Landscape,1280x994,luncheon_on_the_grass.jpg,,,
Madame X,John Singer Sargent,Portrait,556x1080,madame_x.jpg,,,
Madonna di Senigallia,Piero Della Francesca,Portrait,1200 x 1411,madonna_di_senigallia.jpg,,,
The Nude Maja,Francisco Goya,Landscape,1024x519,maja_desnuda.jpg,,,
Man and Woman Contemplating the Moon,Caspar David Friedrich,Landscape,1030x793,man_and_woman_contemplating_the_moon.jpg,,,
Medusa,Caravaggio,Portrait,1054x1080,medusa.jpg,,,
Mona Lisa,Leonardo Da Vinci,Portrait,1024x1526,mona_lisa.jpeg,,,
The Night Watch,Rembrandt,Landscape,1327x1080,nachtwacht.jpg,,,
The Emperor Napoleon in His Study at the Tuileries,Jacques Louis David,Portrait,648x1080,napoleon.jpg,,,
Apples and Oranges,Paul Cezanne,Landscape,2444 × 1921,nature_morte_aux_pommes_et_aux_oranges.jpg,,,
Nighthawks,Edward Hopper,Landscape,1920x1048,nighthawks.jpg,,,
Nu Couche,Amedeo Modigliani,Landscape,1280x806,nu_couche.jpg,,,
Grande Odalisque,Jean Auguste Dominique Ingres,Landscape,1920x1069,odalisque.jpg,,,
Palazzo Ducale and the Piazza di San Marco,Canaletto,Landscape,1173x720,palazzo_ducale_and_the_piazza_di_san_marco.jpg,,,
"Palazzo Vendramin Calergi, on the Grand Canal, Venice",Canaletto,Landscape,1024x819,palazzo_vendramin-calergi.jpg,,,
Portrait of Paulette Jourdain,Amedeo Modigliani,Portrait,1293x2000,paulette_jourdain.jpg,,,
Girl with a Pearl Earring,Johannes Vermeer,Portrait,912x1080,pearl_earring.jpg,,,
The Persistence of Memory,Salvador Dali,Landscape,1668 × 1200,persistence_of_the_memory.jpg,,,
Pink and Blue,Pierre Auguste Renoir,Portrait,755x1200,pink_and_blue.jpg,,,
Dogs Playing Poker,Cassius Marcellus Coolidge,Landscape,2000x1660,poker_game.jpg,,,
Poppy Flowers,Vincent van Gogh,Portrait,1200x1430,poppy_flowers.jpg,,,
Portrait of Alfonso d'Avalos with a Page,Titian,Portrait,796x1024,portrait_of_alfonso_davalos_with_a_page.jpg,,,
Portrait of Pope Paul V,Caravaggio,Portrait,644x1088,portrait_of_pope_paul_v.jpg,,,
Primavera,Sandro Botticelli,Landscape,1644x1080,primavera.jpg,,,
Prince of the Lilies,Unknown,Portrait,1423x2160,prince_of_the_lilies.jpg,,,
Pyramid of Skulls,Paul Cezanne,Landscape,1038x829,pyramid_of_skulls.jpg,,,
Roman fresco Villa dei Misteri Pompeii,Unknown,Landscape,1200x966,roman_fresco_villa_dei_misteri_pompeii.jpg,,,
Sacred and Profane Love,Titian,Landscape,1920x762,sacred_and_profane_love.jpg,,,
Salvator Mundi,Leonardo Da Vinci,Portrait,734x1080,salvator_mundi.jpg,,,
Saturn Eating His Son,Francisco Goya,Portrait,1176x2160,saturn_eating_his_son.jpg,,,
Self Portrait with Bandaged Ear,Vincent van Gogh,Portrait,888x1080,self_portrait_bandaged.jpg,,,
Self Portrait,Vincent van Gogh,Portrait,827 × 1026,self_portrait.jpg,,,
Self Portrait,Raffaello,Portrait,792x1080,self_portrait_raffaello.jpg,,,
The Son of Man,Rene Magritte,Portrait,960x1260,son_of_man.jpg,,,
Portrait of Angel Fernandez de Soto,Pablo Picasso,Portrait,780x1000,soto.jpg,,,
Soup Can Tomato,Andy Warhol,Portrait,1596 × 2000,soup_can_tomato.jpg,,,
St. Sebastian,Andrea Mantegna,Portrait,1169x2160,st._sebastian.jpg,,,
Still Life,Georges Braque,Landscape,800 × 584,still_life.jpg,,,
Sunflowers,Vincent van Gogh,Portrait,1280 × 1682,sunflowers.jpg,,,
Tahiti,Paul Gauguin,Landscape,1220x687,tahiti.jpg,,,
The Abbey in the Oakwood,Caspar David Friedrich,Landscape,1686x1080,the_abbey_in_the_oakwood.jpg,,,
The Absinthe Drinker,Edgar Degas,Portrait,1574x2159,the_absinthe_drinker.jpg,,,
The Basket of Apples,Paul Cezanne,Landscape,1349x1080,the_basket_of_apples.jpg,,,
The Battle of Anghiari,Leonardo da Vinci,Landscape,1179x857,the_battle_of_anghiari.jpg,,,
The Birth Of Venus,Sandro Botticelli,Landscape,1200 x 754,the_birth_of_venus.jpg,,,
The Coronation of Napoleon,Jacques Louis David,Landscape,1717x1080,the_coronation_of_napoleon.jpg,,,
The Dance,Henri Matisse,Landscape,2348 × 1587,the_dance.jpg,,,
The Dead Christ and Three Mourners,Andrea Mantegna,Landscape,1301x1080,the_dead_christ_and_three_mourners.jpg,,,
The Death of Marat,Jacques Louis David,Portrait,1920x2496,the_death_of_marat.jpg,,,
The Entrance to the Grand Canal,Canaletto,Landscape,1583x1080,the_entrance_to_the_grand_canal.jpg,,,
The False Mirror,Rene Magritte,Landscape,2207x1609,the_false_mirror.jpg,,,
The Fight Between Carnival and Lent,Pieter Brueghel,Landscape,1510x1080,the_fight_between_carnival_and_lent.jpg,,,
The Flow Carrier,Diego Rivera,Portrait,2554x2560,the_flow_carrier.jpg,,,
The Fourth Estate,Peliza da Volpedo,Landscape,1920x1037,the_fourth_estate.jpg,,,
The Kiss,Gustav Klimt,Portrait,1105 × 1123,the_kiss.jpg,,,
The Lady of Shalott,John William Waterhouse,Landscape,1280x982,the_lady_of_shalott.jpg,,,
The Lovers,Rene Magritte,Landscape,2000x1489,the_lovers.jpg,,,
The Marriage of the Virgin,Raffaello,Portrait,714x1024,the_marriage_of_the_virgin.jpg,,,
The Night Cafe,Vincent van Gogh,Landscape,3000 × 2368,the_night_cafe.jpg,,,
The Nightmare,Johann Heinrich Fussli,Landscape,1333x1080,the_nightmare.jpg,,,
The Old Guitarist,Pablo Picasso,Portrait,3648 × 5472,the_old_guitarist.jpg,,,
The Potato Eaters,Vincent van Gogh,Landscape,1520x1080,the_potato_eaters.jpg,,,
The Raft of the Medusa,Theodore Gericault,Landscape,1280x874,the_raft_of_the_medusa.jpg,,,
The Scream,Edvard Munch,Portrait,1280 × 1589,the_scream.jpg,,,
The Sea of Ice,Caspar David Friedrich,Landscape,1444x1080,the_sea_of_ice.jpg,,,
The Siren,John William Waterhouse,Portrait,1276x2000,the_siren.jpg,,,
The Sleeping Gypsy,Henri Rousseau,Landscape,1690x1080,the_sleeping_gypsy.jpg,,,
The Swing,Joean Honore Fragonard,Portrait,1690x2160,the_swing.jpg,,,
The Third of May,Franscisco Goya,Landscape,1398x1080,the_third_of_may.jpg,,,
The Tower of Babel,Pieter Bruegel the Elder,Portrait,1476x1080,the_tower_of_babel.jpg,,,
The Triumph of Galatea,Raffaello,Portrait,1200x1567,the_triumph_of_galatea.jpg,,,
Portrait of Sir Thomas More,Hans Holbein,Portrait,868x1080,thomas_more.jpg,,,
The Two Fridas,Frida Kahlo,Portrait,900x903,two_fridas.jpg,,,
Upward,Wassily Kandinsky,Portrait,980 × 1408,upward.jpg,,,
Venere e Marte,Sandro Botticelli,Landscape,1920x767,venus_and_mars.jpg,,,
Venus of Urbino,Titian,Landscape,1536x1080,venus_of_urbino.jpg,,,
Vertumnus,Giuseppe Arcimboldo,Portrait,871x1080,vertumnus.jpg,,,
Violin and Pipe,Georges Braque,Landscape,1000x678,violin_and_pipe.jpg,,,
Vitruvian Man,Leonardo da Vinci,Portrait,900 × 872,vitruvian_man.jpg,,,
Wanderer above a Sea of Mist,Caspar David Friedrich,Portrait,2327 x 2980,wanderer_above_a_sea_of_mist.jpg,,,
Washington Crossing the Delaware,Emanuel Leutze,Landscape,1686x1080,washington_crossing_the_delaware.jpg,,,
Whistler's Mother,James Abbott McNeill Whistler,Portrait,2428x2160,whistler_mother.jpg,,,
Wind God and Thunder God,Ogata Korin,Landscape,1400x622,wind_god_and_thunder_god.jpg,,,
Witches Flight,Francisco Goya,Portrait,1400x1921,witches_flight.jpg,,,
Witches' Sabbath,Francisco Goya,Portrait,1512x2160,witches_sabbath.jpg,,,
