Title,Author,Resolution,File_name,Strength,Copyright
Alpine Pasture,Margret Hofheinz Doring,804x1024,alpine_pasture.jfif,,
Ameisenhaufen,Marianne von Werefkin,1197x1122,ameisenhaufen.jpg,,
Animals in a Landscape,Franz Marc,964x1024,animals_in_a_landscape.jpg,,
"Battle of Lights, Coney Island, Mardi Gras",Joseph Stella,1135x1024,battle_of_lights.jpg,,
Bed of Chrysanthemums,Claude Monet,688x1024,bed_of_chrysanthemums.jpg,,
Beer Garden,Marianne von Werefkin,1280x961,beer_garden.jpg,,
Birds,Franz Marc,938x1024,birds.jpg,,
Blue Horse,Franz Marc,1534 x 2048,blue_horse.jpg,,
Blue Mountain,Wassily Kandinsky,947x1024,blue_mountain.jfif,,
Blue Black Fox,Franz Marc,1280x1015,blue-black_fox.jpg,,
Castle and Sun,Paul Klee,1000x821,castle_and_sun.jpg,,
Church in St. Prex,Marianne von Werefkin,919x1197,church_in_st._prex.jpg,,
"Coast Scene, Isles of Shoals",Childe Hassam,1235x1024,"coast_scene,_isles_of_shoals.jpg",,
Cocina Alpina,Ludwig Kirchner,1025x1024,cocina_alpina.jpg,,
Composition X,Wassily Kandinsky,1135x744,composition_10.jpg,,
Composition with Red Blue and Yellow,Piet Mondrian,1010x1024,composition_II_with_red_blue_and_yellow.jpg,Less than 6e4 ,
Composition VI,Wassily Kandinsky,1600x1053,composition_vi.jpg,,
Composition VII,Wassily Kandinsky,1684x1204,composition_vii.jpg,,
Composition VIII,Wassily Kandinsky,1090 × 755,composition_viii.jpg,,
Cows Red Green Yellow,Franz Marc,1280x904,cows_red_green_yellow.jpg,,
Wheatfields with Crows,Vincent Van Gogh,2560x1228,crows.jpg,,
Dance Hall Bellevue,Ludwig Kirchner,1280x840,dance_hall_bellevue.jpg,,
Death and Life,Gustav Klimt,1144x1024,death_and_life.jpg,,
"Rythme No. 1, Decoration for the Salon des Tuileries",Robert Delaunay,1126x1024,decoration_tuileries.jpg,,
Der Geteckte Tisch,"
Karl Schmid",868x1134,der_geteckte_tisch.jpg,,
Der leere Teller,Hans Krenn,632x826,der_leere_teller.jpg,,
Dynamism of a Cyclist,Umberto Boccioni,1490x1080,dynamism_of_a_cyclist.jpg,,
Edtaonisl,Francis Picabia,800x776,edtaonisl.jpg,,
Elasticity,Umberto Boccioni,1100x1089,elasticity.jpg,,
Evening; Red Tree,Piet Mondrian,1530x1080,evening.jpg,,
Fighting Forms,Franz Marc,1102x767,fighting_forms.jpg,,
Flowers,Ben Giles,1440x1440,flowers.jpg,,
Four Girls,August Macke,755x1024,four_girls.jpg,,
Futuristic Composition 1914,Joseph Stella,750 × 566,futuristic_composition.jpg,,
Grainstacks,Claude Monet,1280x1010,grainstacks.jpg,,
The Great Wave off Kanagawa,Hokusai,1280x860,great_wave.jpg,,
Guernica,Pablo Picasso,1600x600,guernica.jpg,,
Harlequin's Carnival,Joan Miro,1015x716,harlequins-carnival.jpg,,
Hauptweg und Nebenwege,Paul Klee,920x1120,hauptweg_und_nebenwege.jpg,,
"Horse, Pipe and Red Flower",Joan Miro,1026x1120,"horse,_pipe_and_red_flower.jpg",,
Houses at Auvers,Vincent Van Gogh,800x1025,houses_at_auvers.jpg,,
I and the Village,Marc Chagall,932x1200,i_and_the_village.jpg,,
Improvisation XIX,Wassily Kandinsky,1000x832,improvisation_19.jpg,,
Improvisation VI,Wassily Kandinsky,914x1024,improvisation_6_(afrikanisches).jpg,,
Improvisation. Deluge,Wassily Kandinsky,2200x1427,improvisation_deluge.jpg,,
Improvisation. Dreamy,Wassily Kandinsky,1000x992,improvisation_dreamy.jpg,,
In Blue,Wassily Kandinsky,990x734,in_blue.jpg,,
In the Rain,Franz Marc,1280x975,in_the_rain.jpg,,
Interieur with Two Girls,Ludwig Kirchner,1024x1024,interieur_mit_zwei_maedchen_anagoria.jfif,,
Invocation,Paul Gauguin,1185x1024,invocation.jpg,,
The Ladie's Man,George Seurat,840x1330,l_homme_a_femmes.jpg,,
Landscape with Child,Paul Klee,930x636,landscape_with_child.jpg,,
Le Bonheur de Vivre,Henri Matisse,1088x784,le_bonheur_de_vivre.jpg,,https://www.wikiart.org/en/ellsworth-kelly/colors-for-a-large-wall-1951
The Smoker,Jean Metzinger,1619x2160,le_fumeur.jpg,,
The Young Ladies of Avignon,Pablo Picasso,1043x1080,les_demoiselles_davignon.jpg,,
Madrill,Franz Marc,1279x905,madrill.jpg,,
Marilyin Monroe,Andy Warhol,2000 × 1992,marilyn_monroe.jpg,,
Meditation 'Das Gebet',Alexej von Jawlensky,776x1024,meditation.jpg,,
Mountain Sainte Victoire,Paul Cezanne,1280x1004,montagne_sainte_victoire.jpg,,
Mosaic,Unknown,470x391,mosaic.jpeg,,
Moscow,Wassily Kandinsky,1718x1800,moscow.jpg,,
Mykonos,Margret Hofheinz Doring,1060x805,mykonos.jpg,,
O! die Geruchte!,Paul Klee,940x1287,o_die_geruchte.jpg,,
Oriental Pleasure Garden Anagoria,Paul Klee,1280x960,oriental_pleasure_garden_anagoria.jfif,,https://www.philamuseum.org/collection/object/83144
Die Klosterser Berge,Ludwig Kirchner,1024x1024,osterreichische_galerie_belvedere.jpg,,
Red Canna,Georgia O'Keeffe,600x800,red_canna.png,,
Starry Night on the Rhone,Vincent Van Gogh,1398x1080,rhone.jpg,,
Sertig Valley in Autumn,Ludwig Kirchner,1280x860,sertig_valley_in_autumn.jpg,,
Sketch for Composition II,Wassily Kandinsky,1170x845,sketch_for_composition_II.jpg,,
Sky Blue,Wassily Kandinsky,1400x1916,sky_blue.jpg,,
Squares with Concentric Circles,Wassily Kandinsky,1700 × 1262,squares_with_concentric_circles.jpg,,
Strange Garden,Paul Klee,1439x2047,strange_garden.jpg,,
"Street, Berlin",Ludwig Kirchner,774x1024,street_berlin.jpg,,
Structural I,Paul Klee,1760x3722,structural_i.jpg,,
Sturmwind,Marianne von Werefkin,1280x979,stumwind.jpeg,,
The Blue Rider,Wassily Kandinsky,1232x1183,the_blue_rider.jpg,,
The Circus,George Seurat,826x1023,the_circus.jpg,,
The City Rises,Umberto Boccioni,1627x1080,the_city_rises.jpg,,
The Foolish Virgins,Marianne von Werefkin,1172x1024,the_foolish_virgins.jpg,,
The Knife Grinder,Kazimir Malevich,1019x1024,the_knife_grinder.jpeg,,
The Liver Is the Cock's Comb,Arshile Gorky,1280x952,the_liver_is_the_cocks_comb.jpg,,
The Maiden,Gustav Klimt,1071x1024,the_maiden.jpg,,
Open Window,Henri Matisse,995x1200,the_open_window.jpg,,
The Starry Night,Vincent Van Gogh,1280x1014,the_starry_night.jpg,,
The Yellow Cow,Franz Marc,1067x797,the_yellow_cow.jpg,,
Theater Mountain Construction,Paul Klee,1250x1024,theater-mountain-construction.jpg,,
Three Threes Autumn Effect,Claude Monet,828x1053,three_trees_autumn_effect.jpg,,
Tomb in Three Parts,Paul Klee,1280x943,tomb_in_three_parts.jpg,,
Tour Eiffel,George Seurat,688x1100,tour_eiffel.jpg,,
Two Girls,August Macke,807x1024,two_girls.jfif,,
Udnie,Francis Picabia,1024x1024,udnie.jpg,,
Untitled (First Abstract Watercolor),Wassily Kandinsky,1592x1259,untitled_first_abstract_watercolor.jpg,,
Untitled Improvisation III,Wassily Kandinsky,787x1024,untitled_improvisation_III.jpg,,
Upward,Wassily Kandinsky,980 × 1408,upward.jpg,,
Vertumnus,Giuseppe Arcimboldo,871x1080,vertumnus.jpg,,
View of Toledo,El Greco,957x1080,view_of_toledo.jpg,,
Colors for a Large Wall,Ellsworth Kelly,2000x1992,wall.jpg,,
Water Serpents II,Gustav Klimt,1280x740,wasserschlangen_ii.jpeg,,
Wheat Field with Cypresses,Vincent Van Gogh,1200x950,wheat_field_with_cypresses.jfif,,
Yellow Accompaniment,Wassily Kandinsky,979x1002,yellow_accompaniment.jpg,,
